id,actor_1_name,actor_2_name,actor_3_name,director_name
630,Judy Garland,Frank Morgan,Ray Bolger,Victor Fleming
770,Vivien Leigh,Clark Gable,Olivia de Havilland,Victor Fleming
31044,Peter O'Toole,Mark Linn-Baker,Jessica Harper,Richard Benjamin
599,William Holden,Gloria Swanson,Erich von Stroheim,Billy Wilder
15,Orson Welles,Joseph Cotten,Dorothy Comingore,Orson Welles
62,Keir Dullea,Gary Lockwood,William Sylvester,Stanley Kubrick
121357,Ray Milland,Marlene Dietrich,Murvyn Vye,Mitchell Leisen
705,Bette Davis,Anne Baxter,George Sanders,Joseph L. Mankiewicz
22490,Norma Shearer,Joan Crawford,Rosalind Russell,George Cukor
223,Laurence Olivier,Joan Fontaine,George Sanders,Alfred Hitchcock
25670,Joel McCrea,Laraine Day,Herbert Marshall,Alfred Hitchcock
303,Cary Grant,Ingrid Bergman,Claude Rains,Alfred Hitchcock
4174,Ingrid Bergman,Gregory Peck,Michael Chekhov,Alfred Hitchcock
8356,Cary Grant,Deborah Kerr,Richard Denning,Leo McCarey
381,Cary Grant,Grace Kelly,Jessie Royce Landis,Alfred Hitchcock
20758,Spencer Tracy,Joan Bennett,Elizabeth Taylor,Vincente Minnelli
29376,Fred Astaire,Cyd Charisse,Oscar Levant,Vincente Minnelli
1859,Greta Garbo,Melvyn Douglas,Ina Claire,Ernst Lubitsch
18299,Gary Cooper,Audrey Hepburn,Maurice Chevalier,Billy Wilder
17281,Leslie Caron,Maurice Chevalier,Louis Jourdan,Vincente Minnelli
64382,Rex Harrison,Kay Kendall,Sandra Dee,Vincente Minnelli
10907,Errol Flynn,Olivia de Havilland,Basil Rathbone,Michael Curtiz William Keighley
32093,Tyrone Power,Linda Darnell,Basil Rathbone,Rouben Mamoulian
1939,Gene Tierney,Dana Andrews,Clifton Webb,Otto Preminger
22292,Gene Tierney,Rex Harrison,George Sanders,Joseph L. Mankiewicz
3598,Ronald Colman,Jane Wyatt,Edward Everett Horton,Frank Capra
3080,Fred Astaire,Ginger Rogers,Edward Everett Horton,Mark Sandrich
198,Carole Lombard,Jack Benny,Robert Stack,Ernst Lubitsch
13562,William Powell,Carole Lombard,Alice Brady,Gregory La Cava
1712,Elizabeth Taylor,Rock Hudson,James Dean,George Stevens
220,James Dean,Julie Harris,Raymond Massey,Elia Kazan
3529,William Powell,Myrna Loy,Maureen O'Sullivan,W.S. Van Dyke
3085,Cary Grant,Rosalind Russell,Ralph Bellamy,Howard Hawks
2897,David Niven,Cantinflas,Finlay Currie,Michael Anderson
1585,James Stewart,Donna Reed,Lionel Barrymore,Frank Capra
3083,James Stewart,Jean Arthur,Claude Rains,Frank Capra
900,Katharine Hepburn,Cary Grant,Charles Ruggles,Howard Hawks
43795,Irene Dunne,Cary Grant,Beulah Bondi,George Stevens
85638,Lillian Gish,Lars Hanson,Henry B. Walthall,Victor Sjöström
50001,Barbara Stanwyck,Michael O'Shea,Iris Adrian,William A. Wellman
43905,Leslie Howard,Bette Davis,Frances Dee,John Cromwell
22688,Paul Muni,Anne Baxter,Claude Rains,Archie Mayo
23114,Freddie Bartholomew,Dolores Costello,C. Aubrey Smith,John Cromwell
26378,John Garfield,The 'Dead End' Kids,Claude Rains,Busby Berkeley
40206,Danny Kaye,Walter Slezak,Barbara Bates,Henry Koster
22356,John Wayne,Gail Russell,Harry Carey,James Edward Grant
260,Robert Donat,Madeleine Carroll,Lucie Mannheim,Alfred Hitchcock
43488,Dana Andrews,Lloyd Bridges,Richard Conte,Lewis Milestone
22613,Jane Russell,Jack Buetel,Thomas Mitchell,Howard Hawks Howard Hughes
10331,Duane Jones,Judith O'Dea,Karl Hardman,George A. Romero
488,Humphrey Bogart,Katharine Hepburn,Robert Morley,John Huston
22733,Humphrey Bogart,Jennifer Jones,Gina Lollobrigida,John Huston
261,Elizabeth Taylor,Paul Newman,Burl Ives,Richard Brooks
57575,Elizabeth Taylor,Van Johnson,Walter Pidgeon,Richard Brooks
32574,Barbara Stanwyck,Gary Cooper,Edward Arnold,Frank Capra
22657,Charles Boyer,Sigrid Gurie,Hedy Lamarr,John Cromwell
76464,James Cagney,Evelyn Daw,William Frawley,Victor Schertzinger
22649,Helen Hayes,Gary Cooper,Adolphe Menjou,Frank Borzage
176841,Chester Morris,Madge Evans,Leo Carrillo,Edwin L. Marin
125587,Ian Hart,John Lynch,James Frain,Thaddeus O'Sullivan
39448,Michelle Yeoh,Cynthia Rothrock,Sammo Hung,Corey Yuen Kwai
52855,Ice Cube,Elizabeth Hurley,Ving Rhames,Darrell James Roodt
39940,William Holden,Kim Novak,Betty Field,Joshua Logan
172868,Bernard Hill,John Hannah,,Chris Newby
85328,Adrian Pasdar,Jon Cryer,Tim Guinee,Richard Schenkman
124632,,,,Allan Miller
11076,Jeff Daniels,Anna Paquin,Dana Delany,Carroll Ballard
63945,Craig Sheffer,Sheryl Lee,Terence Stamp,Lance Young
58985,Illeana Douglas,John Turturro,Eric Stoltz,Allison Anders
890,André Eisermann,Dana Vávrová,Ben Becker,Joseph Vilsmaier
10861,Jean-Claude Van Damme,Natasha Henstridge,Jean-Hugues Anglade,Ringo Lam
1770,Liam Neeson,Aidan Quinn,Stephen Rea,Neil Jordan
44465,Clive Owen,Halle Berry,Peter Greene,Amy Holden Jones
2033,Matthew Broderick,Patricia Arquette,Peter Riegert,Matthew Broderick
18203,Stanley Tucci,Tony Shalhoub,Marc Anthony,Stanley Tucci Campbell Scott
9333,Bruce Willis,Bruce Dern,William Sanderson,Walter Hill
47260,Edward James Olmos,María Conchita Alonso,Arie Verveen,Robert M. Young
9400,Jada Pinkett Smith,Queen Latifah,Vivica A. Fox,F. Gary Gray
9401,Danny Aiello,Greg Cruttwell,Jeff Daniels,John Herzfeld
12241,Bruce Ramsay,William Baldwin,Lois Chiles,Reb Braddock
25739,Michel Serrault,Claudine Auger,Catherine Alric,René Gainville
161806,Matt Ross,Catherine Curtin,Callie Thorne,John Walsh
11306,Hugh Grant,Gene Hackman,Sarah Jessica Parker,Michael Apted
9625,Steven Seagal,Keenen Ivory Wayans,Bob Gunton,John Gray
10680,Emilio Estevez,Jeffrey Nordling,David Selby,Robert Lieberman
6346,Chris O'Donnell,Gene Hackman,Faye Dunaway,James Foley
18660,Don Knotts,Tim Conway,Harry Morgan,Norman Tokar
35115,Fess Parker,Hans Conried,Buddy Ebsen,Norman Foster
14821,Kim Richards,Ray Milland,Donald Pleasence,John Hough
14136,Dean Jones,Michele Lee,Buddy Hackett,Robert Stevenson
10869,Helen Hayes,Ken Berry,Stefanie Powers,Robert Stevenson
22660,Dorothy McGuire,Fess Parker,Tommy Kirk,Robert Stevenson
19186,Hayley Mills,Maureen O'Hara,Brian Keith,David Swift
31102,Hayley Mills,Jane Wyman,Richard Egan,David Swift
6878,Michael J. Fox,Sally Field,Don Ameche,Duwayne Dunham
15944,Fred MacMurray,Jean Hagen,Tommy Kirk,Charles Barton
18444,John Mills,Dorothy McGuire,James MacArthur,Ken Annakin
20723,Hayley Mills,Dean Jones,Dorothy Provine,Robert Stevenson
173,Kirk Douglas,James Mason,Paul Lukas,Richard Fleischer
864,Leon Robinson,Doug E. Doug,Rawle D. Lewis,Jon Turteltaub
24795,Danny Glover,Brenda Fricker,Joseph Gordon-Levitt,William Dear
11224,Ilene Woods,Eleanor Audley,Lucille Bliss,Clyde Geronimi Wilfred Jackson Hamilton Luske
81310,Sterling Holloway,John Fiedler,Paul Winchell,Wolfgang Reitherman
15947,Sterling Holloway,Clarence Nash,Joaquin Garay,William Roberts Clyde Geronimi Jack Kinney Harold Young Norman Ferguson
9078,Sebastian Cabot,Karl Swenson,Junius Matthews,Wolfgang Reitherman
29682,Bobby Driscoll,Luana Patten,Beulah Bondi,Harold D. Schuster Hamilton Luske
8367,Kevin Costner,Morgan Freeman,Christian Slater,Kevin Reynolds
433,Julie Andrews,Dick Van Dyke,David Tomlinson,Robert Stevenson
11360,Sterling Holloway,Herman Bing,John McLeish,Samuel Armstrong Ben Sharpsteen William Roberts Wilfred Jackson Jack Kinney Norman Ferguson
11114,Sean Marshall,Helen Reddy,Mickey Rooney,Don Chaffey
12335,Angela Lansbury,David Tomlinson,Roddy McDowall,Robert Stevenson
12092,Kathryn Beaumont,Verna Felton,Ed Wynn,Hamilton Luske Wilfred Jackson Clyde Geronimi
10948,Mickey Rooney,Kurt Russell,Pearl Bailey,Ted Berman Art Stevens Richard Rich
11229,Kiefer Sutherland,Reese Witherspoon,Wolfgang Bodison,Matthew Bright
15121,Julie Andrews,Christopher Plummer,Eleanor Parker,Robert Wise
562,Bruce Willis,Alan Rickman,Alexander Godunov,John McTiernan
10163,Jeff Fahey,Pierce Brosnan,Jenny Wright,Brett Leonard
48862,Gena Rowlands,Marisa Tomei,Gérard Depardieu,Nick Cassavetes
117036,,,,Iara Lee
47199,Bob Hoskins,Patricia Arquette,Jim Broadbent,Christopher Hampton
11159,Timothy Spall,Brenda Blethyn,Marianne Jean-Baptiste,Mike Leigh
9591,Tom Everett Scott,Johnathon Schaech,Tom Hanks,Tom Hanks
30500,Peter Gallagher,Michelle Pfeiffer,Claire Danes,Michael Pressman
41843,Anthony Hopkins,Natascha McElhone,Julianne Moore,James Ivory
55058,Angelina Jolie,Lainie Kazan,Paul Sorvino,Joseph Bologna
10938,Linda Henry,Glen Berry,Scott Neal,Hettie MacDonald
11412,Geena Davis,Samuel L. Jackson,Yvonne Zima,Renny Harlin
10586,Michael Douglas,Val Kilmer,Tom Wilkinson,Stephen Hopkins
42314,Al Pacino,Winona Ryder,Kevin Spacey,Al Pacino
27845,Steve Buscemi,Chloë Sevigny,Carol Kane,Steve Buscemi
108365,Jeanne Moreau,Sean Young,Sam Waterston,Ismail Merchant
23223,Ashley Judd,Luke Perry,Bruce A. Young,John McNaughton
49471,Ossie Davis,Charles S. Dutton,Andre Braugher,Spike Lee
38153,Charlie Sheen,Donald Sutherland,Linda Hamilton,George P. Cosmatos
25147,Kate Winslet,Christopher Eccleston,Liam Cunningham,Michael Winterbottom
9716,Drew Barrymore,Diva Gray,Natasha Lyonne,Woody Allen
43777,René Lavan,Mayte Vilán,Miguel Gutierrez,Leon Ichaso
454,Leonardo DiCaprio,Claire Danes,John Leguizamo,Baz Luhrmann
10218,Jon Favreau,Vince Vaughn,Ron Livingston,Doug Liman
819,Robert De Niro,Brad Pitt,Kevin Bacon,Barry Levinson
38191,Woody Harrelson,Talisa Soto,Anne Bancroft,Michael Cimino
56830,David Arquette,Lukas Haas,John C. McGinley,Scott Silver
11238,Scott Weinger,Linda Larkin,Robin Williams,Tad Stones
27256,Jean Kent,Dirk Bogarde,John McCallum,Anthony Asquith
31530,Fred Astaire,Ginger Rogers,Edward Everett Horton,Mark Sandrich
66473,Fred Astaire,George Burns,Gracie Allen,George Stevens
28120,Robert Young,Robert Mitchum,Robert Ryan,Edward Dmytryk
1834,Dick Powell,Claire Trevor,Anne Shirley,Edward Dmytryk
26282,Robert Mitchum,Jane Russell,William Bendix,Josef von Sternberg Nicholas Ray
37218,Russell Crowe,Christianne Hirt,Wanda Cannon,Aaron Kim Johnston
252,Gene Wilder,Jack Albertson,Peter Ostrum,Mel Stuart
116356,Jean-Henri Compère,Noe Francq,Isabelle Legros,Jan Bucquoy
16372,Deborah Kerr,Peter Wyngarde,Megs Jenkins,Jack Clayton
11561,Woody Allen,Diane Keaton,John Beck,Woody Allen
11302,Woody Allen,Louise Lasser,Carlos Montalbán,Woody Allen
623,John Cleese,Jamie Lee Curtis,Kevin Kline,Charles Crichton
583,Graham Chapman,John Cleese,Terry Gilliam,Terry Jones
12614,Julie Andrews,James Garner,Robert Preston,Blake Edwards
21711,Robert Redford,Peter Boyle,Melvyn Douglas,Michael Ritchie
11575,Jack Lemmon,Tony Curtis,Natalie Wood,Blake Edwards
475,Warren Beatty,Faye Dunaway,Michael J. Pollard,Arthur Penn
11331,Spencer Tracy,Felipe Pazos,Harry Bellaver,John Sturges
521,Ray Milland,Grace Kelly,Robert Cummings,Alfred Hitchcock
21202,Ying Huang,,,Frédéric Mitterrand
88,Jennifer Grey,Patrick Swayze,Jerry Orbach,Emile Ardolino
500,Harvey Keitel,Tim Roth,Michael Madsen,Quentin Tarantino
792,Tom Berenger,Charlie Sheen,Willem Dafoe,Oliver Stone
8491,Andrew McCarthy,Jonathan Silverman,Catherine Mary Stewart,Ted Kotcheff
402,Michael Douglas,Sharon Stone,George Dzundza,Paul Verhoeven
10537,Val Kilmer,Meg Ryan,Kyle MacLachlan,Oliver Stone
11386,Stephen Rea,Jaye Davidson,Miranda Richardson,Neil Jordan
9504,Al Pacino,Jack Lemmon,Alec Baldwin,James Foley
15764,Meryl Streep,Kevin Kline,Peter MacNicol,Alan J. Pakula
601,Henry Thomas,Drew Barrymore,Robert MacNaughton,Steven Spielberg
67365,Holt McCallany,Michael Badalucco,Nicholas Turturro,Sam Henry Kass
25842,Reginald Owen,Gene Lockhart,Kathleen Lockhart,Edwin L. Marin
2119,Tom Cruise,Robert Duvall,Nicole Kidman,Tony Scott
744,Tom Cruise,Kelly McGillis,Val Kilmer,Tony Scott
136311,Luke Perry,Eric Roberts,Jennifer Tilly,Michael Covert
221,James Dean,Natalie Wood,Sal Mineo,Nicholas Ray
702,Vivien Leigh,Marlon Brando,Kim Hunter,Elia Kazan
25750,Naomi Watts,Jamie Renée Smith,Karen Black,Greg Spence
17642,John Gielgud,,,Hugo Van Lawick
427043,Johannes Silberschneider,Wolfgang Hübsch,Ela Piplits,Michael Kreihsl
146341,Boyan Milushev,Jennifer Tilly,Robert Carradine,Temístocles López
9305,Jacques Perrin,Kristin Scott Thomas,,Claude Nuridsany Marie Pérennou
37616,William Forsythe,Vincent Gallo,Adam Trese,Alan Taylor
11112,Whoopi Goldberg,Dianne Wiest,Eli Wallach,Donald Petrie
21612,Christopher Walken,Chris Penn,Annabella Sciorra,Abel Ferrara
141210,Josh Feldman,Gus Kamp,Carolyn Jania,Chris Cullari
102461,Virginie Ledoyen,Benoît Magimel,Dominique Valadié,Benoît Jacquot
36998,Miou-Miou,Daniel Auteuil,Pascal Duquenne,Jaco Van Dormael
200383,James Caan,Christopher Lambert,Catherine McCormack,Nils Gaup
116844,Richard Lewis,Amanda Plummer,Spalding Gray,Peter Cohn
1630,Woody Harrelson,Courtney Love,Edward Norton,Miloš Forman
26626,Ben Affleck,Alyssa Milano,Sam Rockwell,Rich Wilkes
124837,Oliver North,Mark Goodin,Bill Clinton,R. J. Cutler David Van Taylor
11816,Katharine Hepburn,Henry Fonda,Jane Fonda,Mark Rydell
11843,Peter Sellers,Christopher Plummer,Herbert Lom,Blake Edwards
10379,Phoebe Cates,Rik Mayall,Marsha Mason,Ate de Jong
2756,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,James Cameron
790,Adrienne Barbeau,Jamie Lee Curtis,Janet Leigh,John Carpenter
1103,Kurt Russell,Lee Van Cleef,Ernest Borgnine,John Carpenter
11298,Patrick Macnee,Dennis Dugan,Christopher Stone,Joe Dante
4480,Yves Montand,Gérard Depardieu,Daniel Auteuil,Claude Berri
4481,Yves Montand,Emmanuelle Béart,Daniel Auteuil,Claude Berri
49688,Armando Araiza,Patricia Rivera,Willy Semler,Gustavo Graef-Marino
10765,Goldie Hawn,Eileen Brennan,Armand Assante,Howard Zieff
762,Graham Chapman,John Cleese,Terry Gilliam,Terry Gilliam Terry Jones
44497,Tony Ward,Bruce LaBruce,Kevin P. Scott,Bruce LaBruce Rick Castro
85588,,,,Russ Hexter
278621,Monica Bell,Carol Schneider,Ellen McLaughlin,Sharon Pollack
99479,Moira Kelly,Martin Sheen,Lenny Von Dohlen,Michael Ray Rhodes
55049,Marcello Mastroianni,Anna Galiena,Marisa Paredes,Raúl Ruiz
124829,,,,Susan W. Dryfoos
79306,Warren Miller,,,
356054,Callum Keith Rennie,Maurice Dean Wint,Hugh Dillon,John L'Ecuyer
10548,Muhammad Ali,George Foreman,Don King,Leon Gast
531,Peter Sallis,,,Nick Park
104931,Jean-Luc Godard,,,Jean-Luc Godard
4483,Gérard Depardieu,Maurice Barrier,Bernard-Pierre Donnadieu,Daniel Vigne
18919,Petr Čepek,Jan Kraus,Jiří Suchý,Jan Švankmajer
31556,Richard Basehart,Scott Brady,Roy Roberts,Anthony Mann Alfred L. Werker
26167,Dennis O'Keefe,Claire Trevor,Marsha Hunt,Anthony Mann
26174,Dennis O'Keefe,Mary Meade,Alfred Ryder,Anthony Mann
61461,Emilio Cigoli,Isa Pola,Luciano De Ambrosis,Vittorio De Sica
117500,Michèle Morgan,Pierre Blanchar,Line Noro,Jean Delannoy
218713,George Burns,Gracie Allen,George Barbier,Norman Z. McLeod
217802,George Burns,Gracie Allen,Joe Morrison,Elliott Nugent
127973,Charles Ruggles,Mary Boland,W.C. Fields,Leo McCarey
659,Mario Adorf,Angela Winkler,David Bennent,Volker Schlöndorff
30892,Peter O'Toole,Alastair Sim,Arthur Lowe,Peter Medak
86369,Romane Bohringer,Elsa Zylberstein,,Martine Dugowson
8074,Joseph Gehrard,Marina Vlady,Anny Duperey,Jean-Luc Godard
124676,,,,Nina Menkes
38554,Greg Kinnear,Laurie Metcalf,Maria Pitillo,Garry Marshall
49763,Mariel Hemingway,Michael Paré,Mason Gamble,Eric Red
41326,Jesse Jackson,Juan Munoz,Ray Rogers,Barbara Kopple Cathy Caplan Tom Haneke Lawrence Silk
36555,Phillip Rhee,Christopher McDonald,Gina Gershon,Phillip Rhee
10608,Tim Robbins,Giancarlo Esposito,Alan Rickman,Tim Robbins
11216,Philippe Noiret,Jacques Perrin,Marco Leonardi,Giuseppe Tornatore
7452,Richard Bohringer,Michael Gambon,Helen Mirren,Peter Greenaway
64567,Michel Blanc,Philippe Noiret,Marie-Anne Chazel,Michel Blanc
892,Dominique Pinon,Marie-Laure Dougnac,Jean-Claude Dreyfus,Jean-Pierre Jeunet Marc Caro
1600,Irène Jacob,Halina Gryglaszewska,Philippe Volter,Krzysztof Kieślowski
26561,Josie Lawrence,Miranda Richardson,Joan Plowright,Mike Newell
975,Kirk Douglas,Ralph Meeker,Adolphe Menjou,Stanley Kubrick
18129,Anjelica Huston,John Cusack,Annette Bening,Stephen Frears
54405,Ned Beatty,Adrian Dunbar,Tara Fitzgerald,Peter Chelsom
150823,Michael Dudikoff,Randy Travis,Valerie Wildman,Fred Olen Ray
409,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Anthony Minghella
38251,Diego Abatantuono,Claudio Bigagli,Giuseppe Cederna,Gabriele Salvatores
10161,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Jim Sheridan
1412,Andie MacDowell,Peter Gallagher,James Spader,Steven Soderbergh
41768,Mary McDonnell,Alfre Woodard,Lenore Banks,John Sayles
10409,Paul Mercurio,Tara Morice,Bill Hunter,Baz Luhrmann
14285,Randall Adams,David Harris,Gus Rose,Errol Morris
2469,Victoria Abril,Antonio Banderas,Loles León,Pedro Almodóvar
10174,Madonna,Al Pacino,Kevin Costner,Alek Keshishian Mark Aldo Miceli
31225,Dorian Corey,Pepper LaBeija,Willi Ninja,Jennie Livingston
510,Jack Nicholson,Louise Fletcher,Danny DeVito,Miloš Forman
11455,Cheech Marin,Tommy Chong,Strother Martin,Lou Adler
1891,Mark Hamill,Harrison Ford,Carrie Fisher,Irvin Kershner
2493,Cary Elwes,Robin Wright,Mandy Patinkin,Rob Reiner
85,Harrison Ford,Karen Allen,Paul Freeman,Steven Spielberg
68,Jonathan Pryce,Robert De Niro,Katherine Helmond,Terry Gilliam
679,Sigourney Weaver,Michael Biehn,James Remar,James Cameron
429,Eli Wallach,Clint Eastwood,Lee Van Cleef,Sergio Leone
13446,Richard E. Grant,Paul McGann,Richard Griffiths,Bruce Robinson
389,Henry Fonda,Martin Balsam,John Fiedler,Sidney Lumet
947,Peter O'Toole,Alec Guinness,Anthony Quinn,David Lean
185,Malcolm McDowell,Patrick Magee,Adrienne Corri,Stanley Kubrick
595,Gregory Peck,Brock Peters,James Anderson,Robert Mulligan
28,Martin Sheen,Marlon Brando,Robert Duvall,Francis Ford Coppola
335,Henry Fonda,Claudia Cardinale,Jason Robards,Sergio Leone
1892,Mark Hamill,Harrison Ford,Carrie Fisher,Richard Marquand
144,Bruno Ganz,Otto Sander,Solveig Dommartin,Wim Wenders
1092,Joseph Cotten,Alida Valli,Orson Welles,Carol Reed
769,Robert De Niro,Ray Liotta,Joe Pesci,Martin Scorsese
348,Tom Skerritt,Sigourney Weaver,Veronica Cartwright,Ridley Scott
766,Bruce Campbell,Embeth Davidtz,Marcus Gilbert,Sam Raimi
175,Jean-Marc Barr,Jean Reno,Rosanna Arquette,Luc Besson
11645,Akira Terao,Jinpachi Nezu,Daisuke Ryû,Akira Kurosawa
10835,Chow Yun-fat,Danny Lee Sau-Yin,Sally Yeh,John Woo
539,Anthony Perkins,Vera Miles,John Gavin,Alfred Hitchcock
525,Dan Aykroyd,John Belushi,James Brown,John Landis
240,Al Pacino,Robert Duvall,Diane Keaton,Francis Ford Coppola
600,Matthew Modine,Adam Baldwin,Vincent D'Onofrio,Stanley Kubrick
530,Peter Sallis,,,Nick Park
10705,Kenneth Branagh,Derek Jacobi,Brian Blessed,Kenneth Branagh
279,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Miloš Forman
3109,John Wayne,Maureen O'Hara,Victor McLaglen,John Ford
311,Robert De Niro,James Woods,Elizabeth McGovern,Sergio Leone
1578,Robert De Niro,Joe Pesci,Cathy Moriarty,Martin Scorsese
703,Woody Allen,Diane Keaton,Tony Roberts,Woody Allen
9549,Fred Ward,Dennis Quaid,Ed Harris,Philip Kaufman
1398,Aleksandr Kaydanovskiy,Анатолій Солоніцин,Nikolay Grinko,Andrei Tarkovsky
387,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Wolfgang Petersen
9277,Paul Newman,Robert Redford,Robert Shaw,George Roy Hill
343,Ruth Gordon,Bud Cort,Cyril Cusack,Hal Ashby
37291,Adrienne Shelly,Martin Donovan,Merritt Nelson,Hal Hartley
490,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Ingmar Bergman
11235,Burt Lancaster,Peter Riegert,Fulton Mackay,Bill Forsyth
218,Arnold Schwarzenegger,Michael Biehn,Linda Hamilton,James Cameron
763,Tim Balme,Diana Peñalver,Elizabeth Moody,Peter Jackson
9665,Matthew Broderick,Denzel Washington,Cary Elwes,Edward Zwick
18971,Gary Oldman,Tim Roth,Richard Dreyfuss,Tom Stoppard
696,Woody Allen,Diane Keaton,Michael Murphy,Woody Allen
379,John Turturro,Gabriel Byrne,Marcia Gay Harden,Joel Coen
207,Robin Williams,Ethan Hawke,Robert Sean Leonard,Peter Weir
37247,Dustin Hoffman,Anne Bancroft,Katharine Ross,Mike Nichols
1480,Charlton Heston,Janet Leigh,Orson Welles,Orson Welles
9322,Anne Parillaud,Marc Duret,Patrick Fontana,Luc Besson
826,William Holden,Alec Guinness,Jack Hawkins,David Lean
422,Marcello Mastroianni,Claudia Cardinale,Anouk Aimée,Federico Fellini
829,Jack Nicholson,Faye Dunaway,John Huston,Roman Polanski
828,Michael Rennie,Patricia Neal,Billy Gray,Robert Wise
3090,Humphrey Bogart,Walter Huston,Tim Holt,John Huston
9964,Terry Potter,Pete O'Herne,Craig Smith,Peter Jackson
3063,Groucho Marx,Harpo Marx,Chico Marx,Leo McCarey
13667,John Cusack,David Ogden Stiers,Kim Darby,Savage Steve Holland
694,Jack Nicholson,Shelley Duvall,Danny Lloyd,Stanley Kubrick
235,Wil Wheaton,River Phoenix,Corey Feldman,Rob Reiner
832,Peter Lorre,Ellen Widmann,Inge Landgut,Fritz Lang
765,Bruce Campbell,Sarah Berry,Dan Hicks,Sam Raimi
5925,Steve McQueen,James Garner,Richard Attenborough,John Sturges
11778,Robert De Niro,John Cazale,John Savage,Michael Cimino
4485,Frédéric Andréi,Richard Bohringer,Roland Bertin,Jean-Jacques Beineix
137,Bill Murray,Andie MacDowell,Chris Elliott,Harold Ramis
33,Clint Eastwood,Gene Hackman,Morgan Freeman,Clint Eastwood
982,Frank Sinatra,Laurence Harvey,Angela Lansbury,John Frankenheimer
8428,Christian Slater,Samantha Mathis,Annie Ross,Allan Moyle
212,Cary Grant,Priscilla Lane,Raymond Massey,Frank Capra
105,Michael J. Fox,Christopher Lloyd,Lea Thompson,Robert Zemeckis
1633,Kathy Bates,Mary-Louise Parker,Jessica Tandy,Jon Avnet
11202,George C. Scott,Karl Malden,Stephen Young,Franklin J. Schaffner
1554,Tom Waits,John Lurie,Roberto Benigni,Jim Jarmusch
149,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Katsuhiro Ōtomo
8009,Christopher Lambert,Roxanne Hart,Clancy Brown,Russell Mulcahy
903,Paul Newman,George Kennedy,Luke Askew,Stuart Rosenberg
11673,Gérard Depardieu,Anne Brochet,Vincent Pérez,Jean-Paul Rappeneau
3034,Gene Wilder,Peter Boyle,Marty Feldman,Mel Brooks
339,Winona Ryder,Gena Rowlands,Lisanne Falk,Jim Jarmusch
10404,Gong Li,Ma Jing-Wu,He Saifei,Zhang Yimou
914,Charlie Chaplin,Jack Oakie,Reginald Gardiner,Charlie Chaplin
756,Deems Taylor,Walt Disney,Julietta Novis,Samuel Armstrong James Algar William Roberts Paul Satterfield Hamilton Luske Jim Handley Ford Beebe T. Hee Wilfred Jackson Ben Sharpsteen Norman Ferguson David Hand
288,Gary Cooper,Grace Kelly,Thomas Mitchell,Fred Zinnemann
910,Humphrey Bogart,Lauren Bacall,John Ridgely,Howard Hawks
2640,Winona Ryder,Christian Slater,Shannen Doherty,Michael Lehmann
16633,Christopher Reeve,Jane Seymour,Christopher Plummer,Jeannot Szwarc
665,Charlton Heston,Jack Hawkins,Haya Harareet,William Wyler
11031,Christopher Guest,Michael McKean,Harry Shearer,Rob Reiner
11314,Lou Dobbs,Ted Koppel,,Godfrey Reggio
15143,Eric Stoltz,Mary Stuart Masterson,Lea Thompson,Howard Deutch
89,Harrison Ford,Sean Connery,Denholm Elliott,Steven Spielberg
10322,Peter Sellers,Shirley MacLaine,Melvyn Douglas,Hal Ashby
783,Ben Kingsley,Candice Bergen,Edward Fox,Richard Attenborough
10644,Daniel Day-Lewis,Juliette Binoche,Lena Olin,Philip Kaufman
11257,Maggie Smith,Helena Bonham Carter,Denholm Elliott,James Ivory
14370,Val Kilmer,Gabriel Jarret,Michelle Meyrink,Martha Coolidge
12104,Christine Hargreaves,James Laurenson,Eleanor David,Alan Parker
625,Sam Waterston,Haing S. Ngor,Craig T. Nelson,Roland Joffé
8816,Anton Glanzelius,Tomas von Brömssen,Anki Lidén,Lasse Hallström
830,Walter Pidgeon,Anne Francis,Leslie Nielsen,Fred M. Wilcox
2323,Kevin Costner,Amy Madigan,Gaby Hoffmann,Phil Alden Robinson
983,Sean Connery,Michael Caine,Christopher Plummer,John Huston
642,Paul Newman,Robert Redford,Katharine Ross,George Roy Hill
655,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Wim Wenders
10341,William Hurt,Solveig Dommartin,Chick Ortega,Wim Wenders
639,Meg Ryan,Billy Crystal,Carrie Fisher,Rob Reiner
266022,John Stockwell,Janeane Garofalo,Brian Drillinger,Keoni Waxman
168450,Gabriel Mann,Laurence Mason,Murphy Guyer,John G. Young
30180,Valerie M. Agnew,Carrie Akre,Jeff Ament,Doug Pray
31388,Hulk Hogan,Mila Kunis,Don Stark,John Murlowski
41801,Tilda Swinton,Amy Madigan,Karen Sillas,Susan Streitfeld
66034,Richard Dreyfuss,Ellen Barkin,Jeff Goldblum,Larry Bishop
348138,Susan Floyd,Nadia Dajani,Dan Futterman,Jon Sherman
96288,Gisèle Freund,Sylvia Beach,Janet Flanner,Greta Schiller
